datetime,open,high,low,close,volume
2015-01-02,24.746231563593415,24.757340164944214,23.848711151343018,24.288585662841797,212818400
2015-01-05,24.057529515525847,24.137506662408462,23.41771403539871,23.604326248168945,257142000
2015-01-06,23.668763854504675,23.86648475935941,23.24444035862307,23.60655975341797,263188400
2015-01-07,23.81538275875591,24.037541186337343,23.704303544965192,23.937570571899414,160423600
2015-01-08,24.266365009745527,24.915067190627752,24.148619623170898,24.8573055267334,237458000
2015-01-09,25.030590129694804,25.159442427054685,24.484080590300568,24.88396644592285,214798000
2015-01-12,25.015037630606752,25.021702111984663,24.17083665569823,24.27080726623535,198603200
2015-01-13,24.75511483629627,25.05947250680508,24.195276317806265,24.486303329467773,268367600
2015-01-14,24.22415306198996,24.54628207628489,24.10418731802887,24.392993927001953,195826400
2015-01-15,24.437422680243017,24.450751641144272,23.695414477883954,23.730958938598633,240056000
2015-01-16,23.777616704224478,23.899804519790266,23.371066366906675,23.546571731567383,314053200
2015-01-20,23.95756044123407,24.20860051169221,23.65986900627278,24.153060913085938,199599600
2015-01-21,24.204163134489207,24.672917612849428,24.0530953164167,24.337459564208984,194303600
2015-01-22,24.495188855122496,24.986158779800352,24.37522310007527,24.97060775756836,215185600
2015-01-23,24.948389007255805,25.27051800940202,24.777326090029074,25.099456787109375,185859200
2015-01-26,25.268300881851875,25.40603972695871,25.059473097577246,25.12611961364746,222460000
2015-01-27,24.9750536060997,24.988384266222994,24.221936564113278,24.246374130249023,382274800
2015-01-28,26.132491922200526,26.241350758304694,25.617084503173828,25.617084503173828,585908400
2015-01-29,25.84146934458718,26.479064669460453,25.672628457751323,26.41463851928711,337745600
2015-01-30,26.30355786641712,26.659011007530673,25.959211629596137,26.0280818939209,334982000
2015-02-02,26.225799913021184,26.47461623735488,25.788147591911834,26.354650497436523,250956400
2015-02-03,26.32578004529796,26.456852735752307,26.12805913245126,26.35910415649414,207662800
2015-02-04,26.32577851125725,26.77231750742229,26.283567859872786,26.56126594543457,280598800
